Employee_ID,Name,Gender,Age,Department,Job_Role,Education,Experience,Salary,City,Joining_Date,Promotion,Satisfaction,Attrition
1001,Arjun Mehta,Male,23,Operations,Operations Executive,B.Com,3,49006,Jaipur,2023-04-05,No,2,Yes
1002,Priya Roy,Female,21,HR,Recruiter,Graduate,0,38582,Mumbai,2017-03-25,No,2,Yes
1003,Vikas Singh,Male,38,Operations,Supervisor,B.Tech,13,74052,Chennai,2016-02-23,No,2,Yes
1004,Deepak Joshi,Female,28,Sales,Sales Manager,B.Com,1,51285,Pune,2021-03-11,No,1,No
1005,Deepak Singh,Male,22,Operations,Supervisor,B.Tech,2,45733,Ahmedabad,2024-08-04,No,3,No
1006,Pooja Kumar,Male,33,Operations,Operations Executive,MBA,11,70565,Ahmedabad,2022-08-31,Yes,3,No
1007,Sonia Gupta,Male,38,Finance,Financial Analyst,B.Tech,8,79125,Noida,2017-07-27,No,2,No
1008,Rohan Kumar,Male,43,IT,Developer,B.Com,18,108483,Kolkata,2020-02-23,No,4,No
1009,Neha Sharma,Female,44,Sales,Sales Executive,MBA,18,94560,Mumbai,2016-07-20,No,4,No
1010,Mohit Sharma,Female,42,Operations,Operations Executive,B.Com,13,70540,Bengaluru,2020-12-07,No,4,No
1011,Mohit Kumar,Female,31,Operations,Operations Executive,B.Tech,10,66808,Kolkata,2023-02-05,Yes,4,No
1012,Anjali Sharma,Female,28,Marketing,Marketing Executive,B.Tech,6,64126,Bengaluru,2015-01-03,No,2,No
1013,Sonia Mehta,Male,24,IT,Developer,MBA,1,71795,Ahmedabad,2020-06-13,No,1,Yes
1014,Kiran Patel,Male,29,Marketing,SEO Specialist,B.Tech,5,64145,Ahmedabad,2017-05-17,No,5,No
1015,Pooja Verma,Male,35,Marketing,Marketing Executive,Graduate,14,82061,Delhi,2021-03-18,Yes,2,Yes
1016,Mohit Kumar,Male,22,IT,QA Engineer,B.Com,2,70413,Chennai,2020-06-11,No,1,No
1017,Vikas Roy,Female,34,Finance,Accountant,Graduate,7,74169,Delhi,2018-12-22,No,2,Yes
1018,Rohan Roy,Male,31,Finance,Accountant,Graduate,10,79073,Ahmedabad,2019-09-25,Yes,2,Yes
